total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
83976000,0.9447178281843662,0.21846899390220642,1.1940423250198364,2022,1049700
83984000,0.9849872719496489,0.03330003097653389,1.0447067022323608,2022,1049800
83992000,0.9746604859828949,0.038144972175359726,1.111211895942688,2022,1049900
84000000,0.9887091564014554,0.0469302237033844,1.1114418506622314,2022,1050000
84008000,0.9793264530599117,0.05914418026804924,1.1304775476455688,2022,1050100
84016000,0.9855513032525778,0.09762012213468552,1.146174669265747,2022,1050200
84024000,0.9955514818429947,0.022318309172987938,1.0666030645370483,2022,1050300
84032000,0.9557218700647354,0.09269591420888901,1.18229079246521,2022,1050400
84040000,0.8600614070892334,0.33914715051651,1.1846339702606201,2022,1050500
84048000,0.9670648314058781,0.03248758986592293,1.2321205139160156,2022,1050600
84056000,0.9853771151974797,0.08029963076114655,1.138614535331726,2022,1050700
84064000,0.9911553924903274,0.03404884785413742,1.2251479625701904,2022,1050800
84072000,0.9949472779408097,0.013297662138938904,1.1669838428497314,2022,1050900
84080000,0.9941761549562216,0.05117763951420784,1.1666253805160522,2022,1051000
84088000,0.9880009340122342,0.0810062512755394,1.1293115615844727,2022,1051100
84096000,0.9521980471909046,0.13635259866714478,1.0383174419403076,2022,1051200
84104000,0.9964691495988518,0.03539850562810898,1.0150188207626343,2022,1051300
84112000,0.9547081887722015,0.05820004269480705,1.101443886756897,2022,1051400
84120000,0.9612454511225224,0.12374619394540787,1.149873971939087,2022,1051500
84128000,0.9849343365058303,0.037026505917310715,0.9681788682937622,2022,1051600
84136000,0.9939402723684907,0.010376366786658764,1.1306099891662598,2022,1051700
84144000,0.9876244738698006,0.03417982533574104,1.0973999500274658,2022,1051800
84152000,0.9952670861966908,0.007783176843076944,1.096845030784607,2022,1051900
84160000,0.9886282337829471,0.061334460973739624,1.150343418121338,2022,1052000
84168000,0.980779629200697,0.0659714862704277,1.1238386631011963,2022,1052100
84176000,0.9893396282568574,0.04640379920601845,1.0832759141921997,2022,1052200
84184000,0.9926358098164201,0.03151536360383034,1.1575324535369873,2022,1052300
84192000,0.9900530688464642,0.018959300592541695,1.0128700733184814,2022,1052400
84200000,0.9944603065960109,0.028606131672859192,1.0956286191940308,2022,1052500
84208000,0.9900501566007733,0.020267605781555176,1.0771872997283936,2022,1052600
84216000,0.991866116411984,0.024290362372994423,1.1150846481323242,2022,1052700
84224000,0.9900003960356116,0.011506813578307629,1.0358612537384033,2022,1052800
84232000,0.9934415724128485,0.034918446093797684,1.0944644212722778,2022,1052900
84240000,0.9541200064122677,0.10474638640880585,1.2129327058792114,2022,1053000
84248000,0.7596033960580826,0.9322022199630737,1.0317834615707397,2022,1053100
84256000,0.9917716141790152,0.04019967466592789,1.229953646659851,2022,1053200
84264000,0.8799024298787117,0.17965345084667206,1.059035301208496,2022,1053300
84272000,0.9812478069216013,0.038095731288194656,1.1118857860565186,2022,1053400
84280000,0.9324982836842537,0.07676186412572861,1.2025123834609985,2022,1053500
84288000,0.9867344591766596,0.06609247624874115,1.0693433284759521,2022,1053600
84296000,0.9770613834261894,0.04391125962138176,1.1059037446975708,2022,1053700
84304000,0.9841179084032774,0.02589561976492405,1.1540472507476807,2022,1053800
84312000,0.5730502903461456,1.3414427042007446,1.1667779684066772,2022,1053900
84320000,0.9944319888018072,0.019696377217769623,1.194461703300476,2022,1054000
84328000,0.9938162686303258,0.013797396793961525,0.9680854678153992,2022,1054100
84336000,0.9925769767723978,0.02388394996523857,1.1848552227020264,2022,1054200
84344000,0.9966276283375919,0.017299722880125046,1.153391718864441,2022,1054300
84352000,0.9858590327203274,0.11086223274469376,1.0007116794586182,2022,1054400
84360000,0.9888502825051546,0.024483105167746544,1.2954978942871094,2022,1054500
84368000,0.9953303528018296,0.025798801332712173,1.0214111804962158,2022,1054600
