explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-1.223233699798584,4.305911005531016e-08,1157000,1342,92560000,2.8903613090515137
-0.0007976293563842773,1.2524504988675744e-08,1157100,1342,92568000,2.890361785888672
0.6114558279514313,1.0708936848402573e-08,1157200,1342,92576000,2.890362501144409
0.09983795881271362,2.187261927133477e-08,1157300,1342,92584000,2.8903632164001465
0.035221874713897705,1.773831570517359e-08,1157400,1342,92592000,2.890364170074463
-0.21226215362548828,3.374280765910953e-08,1157500,1342,92600000,2.8903648853302
-0.031406521797180176,2.9373746102123732e-08,1157600,1342,92608000,2.8903656005859375
0.3712122440338135,1.1117007758798536e-08,1157700,1342,92616000,2.8903658390045166
-0.2463160753250122,1.9007011076155322e-08,1157800,1342,92624000,2.890366315841675
-1.913881540298462,1.9761262848305705e-08,1157900,1341,92632000,2.890367031097412
-1.1654675006866455,2.2406247524031642e-08,1158000,1341,92640000,2.8903675079345703
-2.1627540588378906,2.4179120927669828e-08,1158100,1341,92648000,2.8903679847717285
0.2518497705459595,2.397682052901473e-08,1158200,1341,92656000,2.8903679847717285
0.14161348342895508,1.357457612982671e-08,1158300,1341,92664000,2.8903679847717285
-0.4410344362258911,1.2584666642112552e-08,1158400,1341,92672000,2.8903684616088867
-0.021767377853393555,1.9282296648270858e-08,1158500,1341,92680000,2.890368938446045
-0.41916167736053467,1.194755405720116e-08,1158600,1341,92688000,2.890368938446045
-1.2429533004760742,1.68479612483452e-08,1158700,1341,92696000,2.890368938446045
-0.2637946605682373,1.2834275864292977e-08,1158800,1341,92704000,2.890369415283203
-0.4962961673736572,2.740111781918131e-08,1158900,1341,92712000,2.890369415283203
-0.42152249813079834,6.162228949335713e-09,1159000,1340,92720000,2.890369176864624
-0.3530106544494629,6.556471365826155e-09,1159100,1340,92728000,2.8903698921203613
-0.05734515190124512,1.1477694350503498e-08,1159200,1340,92736000,2.8903698921203613
-0.00581669807434082,8.141173957199044e-09,1159300,1340,92744000,2.8903698921203613
-0.42364203929901123,1.0959745111449593e-08,1159400,1340,92752000,2.8903698921203613
-0.9453781843185425,1.2861976372846584e-08,1159500,1340,92760000,2.8903701305389404
-0.5964736938476562,3.298401196616396e-08,1159600,1340,92768000,2.8903703689575195
-4.059335231781006,5.683096304665014e-08,1159700,1340,92776000,2.8903703689575195
-1.6106858253479004,3.4022242800801905e-08,1159800,1340,92784000,2.8903703689575195
-0.5860621929168701,1.641692470855105e-08,1159900,1340,92792000,2.8903706073760986
0.012580931186676025,4.418996724098179e-09,1160000,1340,92800000,2.8903706073760986
-0.535811185836792,7.501314236435519e-09,1160100,1339,92808000,2.8903708457946777
0.20171308517456055,1.0979706033253933e-08,1160200,1339,92816000,2.8903708457946777
-1.2040395736694336,1.2690345663202152e-08,1160300,1339,92824000,2.8903708457946777
-1.9957630634307861,1.0775606185120523e-08,1160400,1339,92832000,2.8903708457946777
0.6359120011329651,3.793179548239323e-09,1160500,1339,92840000,2.8903708457946777
-1.52207612991333,2.205485927220252e-08,1160600,1339,92848000,2.890371084213257
-1.6779160499572754,5.4952407069208675e-09,1160700,1339,92856000,2.8903708457946777
-3.525846004486084,9.762558761394757e-09,1160800,1339,92864000,2.8903708457946777
-0.21967053413391113,8.323207900673424e-09,1160900,1339,92872000,2.890371322631836
-1.2341609001159668,7.41965333617145e-09,1161000,1339,92880000,2.890371322631836
-1.9292786121368408,1.3703937540299194e-08,1161100,1339,92888000,2.8903708457946777
0.018859028816223145,6.236920313540395e-09,1161200,1339,92896000,2.890371084213257
-1.3259336948394775,1.1199171368048155e-08,1161300,1338,92904000,2.8903708457946777
-1.7556774616241455,3.149330751739399e-08,1161400,1338,92912000,2.890371322631836
-1.5048866271972656,7.025485082579053e-09,1161500,1338,92920000,2.890371084213257
-1.005831241607666,1.7414580000263413e-08,1161600,1338,92928000,2.8903708457946777
