nupdates,fps,explained_variance,policy_entropy,total_timesteps,value_loss,avg reward,learning rate
97600,1823,-0.6270790100097656,1.0986111164093018,7808000,1.1511053799040383e-06,0.00216432172783243,0.001
97700,1823,-0.23560035228729248,1.098611831665039,7816000,1.1378349427104695e-06,0.0009786221416788975,0.001
97800,1823,-1.3728125095367432,1.098611831665039,7824000,8.722853408471565e-07,-0.0018136095271074737,0.001
97900,1823,-1.4255568981170654,1.09861159324646,7832000,1.2113890761611401e-06,-0.003238229561247863,0.001
98000,1823,-0.4303457736968994,1.0986106395721436,7840000,9.405687819707964e-07,7.409670529341383e-05,0.001
98100,1823,0.23004406690597534,1.098610520362854,7848000,1.1057950359827373e-06,-0.0002450062346269988,0.001
98200,1823,-2.883923292160034,1.0986093282699585,7856000,2.074492613246548e-06,0.0008081290078735037,0.001
98300,1823,-0.8298366069793701,1.0986111164093018,7864000,9.641587439546129e-07,-0.0003447299303843465,0.001
98400,1823,-0.9017223119735718,1.09861159324646,7872000,1.541832943985355e-06,-0.0007422184909955832,0.001
98500,1823,-0.857549786567688,1.0986120700836182,7880000,1.2161303857283201e-06,-0.0003668666635348927,0.001
98600,1823,-0.22727417945861816,1.09861159324646,7888000,1.524597223578894e-06,0.0031967172557756385,0.001
98700,1823,-1.5046687126159668,1.0986123085021973,7896000,9.70389351095946e-07,0.0028800417392631063,0.001
98800,1823,-0.8260087966918945,1.0986120700836182,7904000,1.1152180832141312e-06,0.0009900244037453377,0.001
98900,1823,-0.5855363607406616,1.098611831665039,7912000,1.3330352430784842e-06,0.00224960690293301,0.001
99000,1822,-1.1546082496643066,1.0986120700836182,7920000,9.104633136303164e-07,0.0007499203522229436,0.001
99100,1823,-0.37349891662597656,1.0986120700836182,7928000,1.189283466374036e-06,-0.0005467519444891878,0.001
99200,1823,-1.0355432033538818,1.098611831665039,7936000,9.479261393607885e-07,0.0005373165314267681,0.001
99300,1823,-0.2578091621398926,1.0986108779907227,7944000,1.1540546438482124e-06,-0.001142793277540477,0.001
99400,1822,-0.3481556177139282,1.098609209060669,7952000,1.4173808722262038e-06,1.568376528666704e-05,0.001
99500,1823,-0.6001832485198975,1.0986099243164062,7960000,1.3895039501221618e-06,0.0025870439831123804,0.001
99600,1823,-0.9617815017700195,1.0986111164093018,7968000,1.296642381021229e-06,0.00040635219902469545,0.001
99700,1823,-1.4667751789093018,1.0986120700836182,7976000,7.931978984743182e-07,3.180833514306869e-05,0.001
99800,1822,0.0006767511367797852,1.0984725952148438,7984000,7.86790951678995e-06,0.00792293345730286,0.001
99900,1822,-1.098029613494873,1.0985908508300781,7992000,4.628835540643195e-06,0.0023383101493891444,0.001
100000,1823,-2.677361488342285,1.0986026525497437,8000000,2.717292318266118e-06,0.000956796597893117,0.001
100100,1823,-0.37380290031433105,1.0986100435256958,8008000,1.9505073396430817e-06,-0.0006453501346697976,0.001
100200,1822,-0.14317381381988525,1.098610281944275,8016000,1.892077989396057e-06,0.001313196701994457,0.001
100300,1822,-0.45042550563812256,1.098609209060669,8024000,1.4936227898942889e-06,0.002066644551086938,0.001
100400,1822,-2.1078343391418457,1.098610281944275,8032000,1.2080956821591826e-06,0.0023195632773422405,0.001
100500,1823,-0.266842246055603,1.09861159324646,8040000,1.0115296618096181e-06,6.769115373117529e-05,0.001
100600,1822,-0.6281867027282715,1.0986106395721436,8048000,1.623417347218492e-06,0.0011056613479013323,0.001
100700,1822,-2.681011438369751,1.0986099243164062,8056000,1.4176714557834202e-06,-0.0009369483971568115,0.001
100800,1822,-0.8609158992767334,1.0986108779907227,8064000,9.478775382376625e-07,0.0009699674217699794,0.001
100900,1822,-1.4219927787780762,1.0986096858978271,8072000,1.6882224826986203e-06,0.002127984039543662,0.001
101000,1822,-1.0725858211517334,1.09860360622406,8080000,1.3328265140444273e-06,-0.0016611743823887082,0.001
101100,1822,-0.9103813171386719,1.0986111164093018,8088000,1.4259583167586243e-06,0.0023844222858315335,0.001
101200,1822,-0.6578679084777832,1.098611831665039,8096000,1.1768712511184276e-06,0.0003394057345474266,0.001
101300,1822,-0.22085678577423096,1.098611831665039,8104000,2.2794472442910774e-06,0.0007632416194610414,0.001
101400,1822,-0.4068950414657593,1.09861159324646,8112000,1.2233125517013832e-06,0.0011208285013708519,0.001
101500,1822,-1.072646141052246,1.0986099243164062,8120000,1.0850101261894451e-06,0.0003521924627420958,0.001
101600,1822,-3.0583605766296387,1.0986111164093018,8128000,8.804214530755416e-07,-0.0005758551988947147,0.001
101700,1822,-1.1681442260742188,1.0986111164093018,8136000,1.5328414519899525e-06,-0.0007375426848625466,0.001
101800,1822,-0.5050466060638428,1.0986113548278809,8144000,1.3208134532760596e-06,-0.0012573305296882608,0.001
101900,1822,-0.3307863473892212,1.098610758781433,8152000,6.58119290619652e-07,-0.0012816574755561306,0.001
102000,1822,-0.43489503860473633,1.09861159324646,8160000,1.2395006478982395e-06,-0.0014622815571783577,0.001
102100,1822,-0.7058076858520508,1.0986120700836182,8168000,1.9224401057726936e-06,-0.0009199671297210443,0.001
102200,1822,-0.513737678527832,1.0986120700836182,8176000,2.1859082153241616e-06,-0.0022086723609390903,0.001
102300,1822,-0.5789884328842163,1.0986120700836182,8184000,1.2640566637855954e-06,-0.001392656927509961,0.001
102400,1822,-0.583469033241272,1.098611831665039,8192000,1.3782134828943526e-06,0.0004914442321251045,0.001
102500,1822,-0.5898158550262451,1.0986120700836182,8200000,1.6626063370495103e-06,-0.002108161305568501,0.001
102600,1822,-0.7191243171691895,1.098611831665039,8208000,9.294814162785769e-07,-0.002711205575906206,0.001
102700,1822,-3.381412982940674,1.0986120700836182,8216000,1.0398255199106643e-06,-0.002117232955788495,0.001
102800,1822,-0.4476172924041748,1.0986119508743286,8224000,9.782831966731464e-07,0.00026887291870707485,0.001
102900,1822,0.054345667362213135,1.0986113548278809,8232000,1.0403723536001053e-06,3.451767747719714e-06,0.001
103000,1822,-1.2492213249206543,1.09861159324646,8240000,9.573277566232719e-07,0.001635625222206727,0.001
103100,1822,-1.0073974132537842,1.0986111164093018,8248000,1.147980583482422e-06,-0.0021529894958803196,0.001
103200,1822,-2.473473310470581,1.098610281944275,8256000,1.1290668453511898e-06,-0.0015044527507598105,0.001
103300,1822,-1.0015149116516113,1.0986120700836182,8264000,8.40082634567807e-07,-0.0021949591591692297,0.001
103400,1822,-0.3241586685180664,1.0986121892929077,8272000,1.380158892061445e-06,-0.003099813153312425,0.001
103500,1822,-2.293630599975586,1.098611831665039,8280000,1.1473100585135398e-06,-0.0005235043082393531,0.001
103600,1822,-0.7384763956069946,1.0986120700836182,8288000,1.3961574722998193e-06,0.0012501685066581558,0.001
103700,1822,-1.300006628036499,1.09861159324646,8296000,7.912643695817678e-07,-7.445692301644158e-06,0.001
103800,1822,-1.2285776138305664,1.0986120700836182,8304000,1.5465990372831584e-06,0.0006550300237904594,0.001
103900,1822,-2.570317506790161,1.0986108779907227,8312000,1.1021080581485876e-06,0.0022144853166537358,0.001
104000,1822,-0.4134962558746338,1.0986073017120361,8320000,1.2639203532671672e-06,0.004263844242086634,0.001
104100,1822,-1.105665922164917,1.098610758781433,8328000,1.238711888618127e-06,0.0027774859947385265,0.001
104200,1822,-1.0238463878631592,1.0986106395721436,8336000,1.2392756616463885e-06,0.0035546543789678254,0.001
104300,1822,-1.3269548416137695,1.0986106395721436,8344000,8.709738494871999e-07,0.0016956999443436872,0.001
104400,1822,-0.6289514303207397,1.09861159324646,8352000,1.382284040118975e-06,-0.0008054149669987964,0.001
104500,1822,-0.2749960422515869,1.0986120700836182,8360000,1.4013727422934608e-06,0.0011714665418821823,0.001
