nupdates,value_loss,policy_entropy,explained_variance,total_timesteps,avg reward,fps
2900,0.0017482774564996362,1.7826640605926514,0.9665892273187637,232000,1.017665372788906,1866
3000,0.031547583639621735,1.785552740097046,0.7928405404090881,240000,1.1152703400701285,1871
3100,0.004188924562186003,1.7896182537078857,0.9220456704497337,248000,0.838628863170743,1874
3200,0.09396703541278839,1.783005714416504,0.22090691328048706,256000,1.5029950574040414,1876
3300,0.04798270761966705,1.779693603515625,0.6967085003852844,264000,0.8416145961731673,1877
3400,0.051776885986328125,1.7701003551483154,0.781962662935257,272000,1.6762966215610504,1877
3500,0.06582221388816833,1.7824313640594482,0.5398901700973511,280000,0.8786290999501943,1877
3600,0.04570124298334122,1.726279854774475,0.8835133761167526,288000,1.5581633139401674,1881
3700,0.02027602307498455,1.756157636642456,0.9362566396594048,296000,0.8487429343163967,1880
3800,0.017452485859394073,1.7600713968276978,0.9269691556692123,304000,1.110475746355951,1882
3900,0.029467511922121048,1.750353455543518,0.9265657514333725,312000,1.2252364467829466,1885
