explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy
0.9738607816398144,6840000,0.05992979556322098,2035,85500,1.5990498065948486
0.9522682912647724,6848000,0.050393491983413696,2035,85600,1.3311281204223633
0.9760024156421423,6856000,0.028971171006560326,2035,85700,1.4731894731521606
0.9609300158917904,6864000,0.05311901494860649,2035,85800,1.4193799495697021
0.9711583107709885,6872000,0.04998845234513283,2035,85900,1.438747763633728
0.9686045423150063,6880000,0.05227250978350639,2035,86000,1.3858662843704224
0.9856592547148466,6888000,0.03054876998066902,2035,86100,1.4588755369186401
0.9646854400634766,6896000,0.04078444838523865,2035,86200,1.476002812385559
0.9515081234276295,6904000,0.09545312821865082,2035,86300,1.437706470489502
0.9725875183939934,6912000,0.024392113089561462,2035,86400,1.4113261699676514
0.9886233825236559,6920000,0.018178880214691162,2035,86500,1.4242582321166992
0.9588615074753761,6928000,0.03718574717640877,2035,86600,1.5273714065551758
0.9676651507616043,6936000,0.05355477333068848,2035,86700,1.5317342281341553
0.9871837366372347,6944000,0.011355077847838402,2035,86800,1.5290123224258423
0.9544579610228539,6952000,0.03681199997663498,2036,86900,1.5681830644607544
0.947908453643322,6960000,0.043325237929821014,2036,87000,1.43507719039917
0.9052122309803963,6968000,0.06949229538440704,2036,87100,1.498802900314331
0.9261036217212677,6976000,0.10562493652105331,2036,87200,1.3865845203399658
0.9690192826092243,6984000,0.046048831194639206,2036,87300,1.4187641143798828
0.9850974837318063,6992000,0.02313803695142269,2036,87400,1.5149294137954712
0.9643605872988701,7000000,0.07899520546197891,2036,87500,1.4875890016555786
0.9655227325856686,7008000,0.043467361479997635,2036,87600,1.432549238204956
0.9780893325805664,7016000,0.02941400744020939,2036,87700,1.4326356649398804
0.968293871730566,7024000,0.05074821785092354,2036,87800,1.4236643314361572
0.9241915792226791,7032000,0.10063771158456802,2036,87900,1.4754024744033813
0.9703981131315231,7040000,0.05127215385437012,2037,88000,1.458946704864502
0.9710676856338978,7048000,0.05583180859684944,2037,88100,1.4184602499008179
0.9885016735643148,7056000,0.020974162966012955,2037,88200,1.307088851928711
0.9674120284616947,7064000,0.036573491990566254,2037,88300,1.3985636234283447
0.9529878422617912,7072000,0.04883812740445137,2037,88400,1.5313225984573364
0.9801863506436348,7080000,0.02513936720788479,2037,88500,1.4969972372055054
0.9712172653526068,7088000,0.07375817000865936,2037,88600,1.374616026878357
0.9778478872030973,7096000,0.04236740618944168,2038,88700,1.544918417930603
0.9886528151109815,7104000,0.01528262160718441,2038,88800,1.5983169078826904
0.9561402276158333,7112000,0.0743011087179184,2038,88900,1.437947154045105
0.9402075223624706,7120000,0.046186428517103195,2038,89000,1.3617935180664062
0.9816449992358685,7128000,0.04931343346834183,2038,89100,1.4628117084503174
0.9203648865222931,7136000,0.043887149542570114,2038,89200,1.4601490497589111
0.9809895064681768,7144000,0.021558796986937523,2038,89300,1.4426852464675903
0.9066606611013412,7152000,0.06391189992427826,2039,89400,1.5732861757278442
0.9604051858186722,7160000,0.04379730671644211,2039,89500,1.449241280555725
0.9553126953542233,7168000,0.04831488057971001,2039,89600,1.5379947423934937
0.9590669348835945,7176000,0.04533199965953827,2039,89700,1.510209321975708
0.9794928412884474,7184000,0.029221907258033752,2039,89800,1.5071226358413696
0.965029202401638,7192000,0.03667018562555313,2039,89900,1.3879032135009766
0.8493143618106842,7200000,0.1986221969127655,2039,90000,1.4927759170532227
0.851316973567009,7208000,0.16355282068252563,2039,90100,1.5779222249984741
0.9727186523377895,7216000,0.057835567742586136,2039,90200,1.5538053512573242
0.9560270681977272,7224000,0.06570380926132202,2040,90300,1.477627158164978
0.9659145101904869,7232000,0.04149448499083519,2040,90400,1.3932926654815674
0.9787701945751905,7240000,0.03379709646105766,2040,90500,1.5411632061004639
0.9533963091671467,7248000,0.0364665649831295,2040,90600,1.5283033847808838
0.9544872641563416,7256000,0.064976766705513,2040,90700,1.5461735725402832
0.9722226019948721,7264000,0.03766676411032677,2040,90800,1.4743090867996216
0.9912708541378379,7272000,0.014243999496102333,2040,90900,1.4458402395248413
0.981718024238944,7280000,0.03329384699463844,2040,91000,1.4451972246170044
0.9906121278181672,7288000,0.011464143171906471,2041,91100,1.5120759010314941
0.9710538350045681,7296000,0.04967499151825905,2041,91200,1.5033692121505737
0.9449637532234192,7304000,0.13602802157402039,2041,91300,1.4781781435012817
0.9918276770040393,7312000,0.015066278167068958,2041,91400,1.4793808460235596
0.9782042019069195,7320000,0.03800690546631813,2041,91500,1.3697779178619385
0.9137405306100845,7328000,0.10667578876018524,2041,91600,1.43946373462677
0.9553793892264366,7336000,0.0636802688241005,2041,91700,1.4791351556777954
0.9750707000494003,7344000,0.04681016877293587,2041,91800,1.5310821533203125
0.9878039518371224,7352000,0.030374133959412575,2041,91900,1.4846267700195312
0.9971542358398438,7360000,0.006297403015196323,2042,92000,1.508060097694397
0.9816402159631252,7368000,0.02250814065337181,2042,92100,1.4658325910568237
0.983248108997941,7376000,0.03208078816533089,2042,92200,1.4899709224700928
0.9876795914024115,7384000,0.01574360765516758,2042,92300,1.4514133930206299
0.9572028890252113,7392000,0.03180661052465439,2042,92400,1.552636742591858
0.9747754465788603,7400000,0.057629309594631195,2042,92500,1.4181652069091797
0.9590659961104393,7408000,0.0614045076072216,2042,92600,1.3262659311294556
0.9701326712965965,7416000,0.0440334789454937,2042,92700,1.375523567199707
0.9703362286090851,7424000,0.030424902215600014,2043,92800,1.554178237915039
0.9106362462043762,7432000,0.10553846508264542,2043,92900,1.5639609098434448
0.9825208969414234,7440000,0.026514342054724693,2043,93000,1.5078115463256836
0.9851704984903336,7448000,0.014197537675499916,2043,93100,1.5538476705551147
0.9875463712960482,7456000,0.015487736091017723,2043,93200,1.5444164276123047
0.9852361371740699,7464000,0.023335309699177742,2043,93300,1.5148346424102783
0.9804517570883036,7472000,0.029555106535553932,2043,93400,1.476839303970337
0.9702280890196562,7480000,0.02617773413658142,2043,93500,1.4881792068481445
0.9682411402463913,7488000,0.05328209325671196,2043,93600,1.3843132257461548
0.971246637403965,7496000,0.04355897381901741,2044,93700,1.408071756362915
0.9647063352167606,7504000,0.052378445863723755,2044,93800,1.3900667428970337
0.9865653486922383,7512000,0.015373805537819862,2044,93900,1.4800832271575928
0.9522929638624191,7520000,0.05613046884536743,2044,94000,1.4021722078323364
0.9429801441729069,7528000,0.04883333295583725,2044,94100,1.4643785953521729
0.9553897269070148,7536000,0.0994960218667984,2044,94200,1.330702781677246
0.9648514725267887,7544000,0.04179965704679489,2045,94300,1.343414068222046
0.9769511893391609,7552000,0.03802034631371498,2045,94400,1.4143309593200684
0.905212864279747,7560000,0.1571030169725418,2045,94500,1.44699227809906
0.9745587464421988,7568000,0.04396139085292816,2045,94600,1.5162429809570312
0.9754937514662743,7576000,0.02738741599023342,2045,94700,1.566897988319397
0.8964619562029839,7584000,0.18883906304836273,2045,94800,1.413074016571045
0.9900106145069003,7592000,0.015205590054392815,2045,94900,1.4592831134796143
0.9602671824395657,7600000,0.049691468477249146,2045,95000,1.4564015865325928
0.9710112791508436,7608000,0.04305948689579964,2045,95100,1.3095487356185913
0.9782851412892342,7616000,0.04261074960231781,2045,95200,1.4381859302520752
0.9773238133639097,7624000,0.034852929413318634,2046,95300,1.4859514236450195
0.990711516700685,7632000,0.020231593400239944,2046,95400,1.533119559288025
0.986880243755877,7640000,0.019051799550652504,2046,95500,1.4463722705841064
0.9894298380240798,7648000,0.0176391638815403,2046,95600,1.5263792276382446
0.9874273603782058,7656000,0.02661054953932762,2046,95700,1.556260347366333
0.9785627946257591,7664000,0.02505243755877018,2046,95800,1.493160605430603
0.978204557672143,7672000,0.027526164427399635,2046,95900,1.3145030736923218
0.9959526029415429,7680000,0.01411658525466919,2046,96000,1.4286110401153564
0.9901104979217052,7688000,0.018519088625907898,2046,96100,1.4151732921600342
0.9755605217069387,7696000,0.03396374732255936,2047,96200,1.4388253688812256
0.9830712433904409,7704000,0.03456985577940941,2047,96300,1.313709020614624
0.9935449799522758,7712000,0.010748718865215778,2047,96400,1.3955456018447876
0.9178546592593193,7720000,0.0849747508764267,2047,96500,1.389777421951294
0.9592544808983803,7728000,0.05626155808568001,2047,96600,1.341742753982544
0.9660705924034119,7736000,0.048988595604896545,2047,96700,1.2554399967193604
0.979966389015317,7744000,0.03958866000175476,2047,96800,1.3570022583007812
0.9821664988994598,7752000,0.02391952835023403,2047,96900,1.3639582395553589
0.9344678446650505,7760000,0.07892216742038727,2047,97000,1.2747507095336914
0.9759490173310041,7768000,0.029237592592835426,2047,97100,1.465599536895752
0.9819619879126549,7776000,0.027270594611763954,2047,97200,1.480318307876587
0.9877511858940125,7784000,0.017501723021268845,2047,97300,1.475029468536377
0.9745013192296028,7792000,0.0332677885890007,2047,97400,1.2922242879867554
0.9839322157204151,7800000,0.038681600242853165,2047,97500,1.4663978815078735
0.9880687780678272,7808000,0.02637867070734501,2048,97600,1.4122238159179688
0.9368080496788025,7816000,0.13973580300807953,2048,97700,1.4908663034439087
0.9799428656697273,7824000,0.028274783864617348,2048,97800,1.3931318521499634
0.9760777521878481,7832000,0.04707130789756775,2048,97900,1.4580765962600708
0.9690958894789219,7840000,0.029761601239442825,2048,98000,1.404848337173462
0.980247650295496,7848000,0.042270589619874954,2048,98100,1.5070005655288696
0.9893078189343214,7856000,0.016973640769720078,2048,98200,1.4783631563186646
0.9868411803618073,7864000,0.02617146447300911,2048,98300,1.3806358575820923
0.9689014982432127,7872000,0.06859590858221054,2048,98400,1.4530324935913086
0.9560206681489944,7880000,0.07554187625646591,2048,98500,1.5250859260559082
0.9900070577859879,7888000,0.017358945682644844,2048,98600,1.4553961753845215
0.9595434255897999,7896000,0.06509491056203842,2049,98700,1.6026537418365479
0.989732451736927,7904000,0.012502807192504406,2049,98800,1.327565312385559
0.9892027154564857,7912000,0.01752226985991001,2049,98900,1.3358322381973267
0.9851533528417349,7920000,0.026451224461197853,2049,99000,1.4201596975326538
0.9919688859954476,7928000,0.0213334858417511,2049,99100,1.3655600547790527
0.9585292413830757,7936000,0.04908234626054764,2049,99200,1.4322528839111328
0.97203279286623,7944000,0.041436053812503815,2049,99300,1.4514341354370117
0.9806647226214409,7952000,0.032371509820222855,2049,99400,1.286827802658081
0.9817418642342091,7960000,0.03988225385546684,2049,99500,1.4291526079177856
0.9707436729222536,7968000,0.0349532775580883,2049,99600,1.3909976482391357
0.9768270589411259,7976000,0.042557474225759506,2050,99700,1.3183443546295166
