value_loss,explained_variance,total_timesteps,policy_entropy,nupdates,fps
6.362261046888307e-06,-1.0738246440887451,4800000,2.890364170074463,60000,1733
4.037178314320045e-06,-0.7234042882919312,4808000,2.890364170074463,60100,1733
5.040407813794445e-06,-1.158325433731079,4816000,2.8903648853302,60200,1733
4.137874384468887e-06,-0.7002575397491455,4824000,2.890364646911621,60300,1732
3.3198662094946485e-06,-0.7386361360549927,4832000,2.890364408493042,60400,1732
3.4981774206244154e-06,-0.6612697839736938,4840000,2.890364646911621,60500,1732
3.6341193663247395e-06,-1.184248924255371,4848000,2.8903608322143555,60600,1732
2.5176559574902058e-06,-0.8112211227416992,4856000,2.8903629779815674,60700,1732
2.011615833907854e-06,-0.19918513298034668,4864000,2.8903629779815674,60800,1732
3.258959168306319e-06,-2.788198471069336,4872000,2.890364170074463,60900,1732
4.2776182453962974e-06,-0.7895411252975464,4880000,2.890364408493042,61000,1732
4.292361154512037e-06,0.13284844160079956,4888000,2.8903496265411377,61100,1732
5.164970389159862e-06,-0.6189002990722656,4896000,2.890352487564087,61200,1732
2.8204569844092475e-06,-0.42022013664245605,4904000,2.8903560638427734,61300,1732
3.510132955852896e-06,-4.960257053375244,4912000,2.8903584480285645,61400,1732
3.326917067170143e-06,-0.38395798206329346,4920000,2.8903615474700928,61500,1732
2.6909278858511243e-06,-1.4259905815124512,4928000,2.890360116958618,61600,1732
1.8105354229192017e-06,-0.8153011798858643,4936000,2.89036226272583,61700,1732
2.305836915184045e-06,-0.9254052639007568,4944000,2.8903636932373047,61800,1732
3.827204636763781e-06,-0.39249730110168457,4952000,2.8903656005859375,61900,1732
2.7773246529250173e-06,-0.7739224433898926,4960000,2.8903660774230957,62000,1732
4.3297714000800624e-06,-0.7782264947891235,4968000,2.8903660774230957,62100,1732
6.228240636119153e-06,-2.8578314781188965,4976000,2.890367269515991,62200,1732
3.168949433529633e-06,-1.1687076091766357,4984000,2.890366315841675,62300,1732
2.7000151021638885e-06,0.15044629573822021,4992000,2.890366315841675,62400,1732
7.566611202491913e-06,-0.7428889274597168,5000000,2.890366792678833,62500,1732
2.633376880112337e-06,-1.0510458946228027,5008000,2.890366554260254,62600,1732
2.099185849147034e-06,-1.0303397178649902,5016000,2.890366792678833,62700,1732
2.646200073286309e-06,-1.1042969226837158,5024000,2.890366315841675,62800,1732
2.616832944113412e-06,-0.2604602575302124,5032000,2.8903658390045166,62900,1732
7.124736839614343e-06,-1.2008891105651855,5040000,2.8903660774230957,63000,1732
1.384413394589501e-06,-0.594253659248352,5048000,2.890366792678833,63100,1733
5.603617864835542e-06,-0.5906211137771606,5056000,2.8903660774230957,63200,1733
3.7106642594153527e-06,-0.9861061573028564,5064000,2.8903660774230957,63300,1733
3.1669023883296177e-06,-0.3245335817337036,5072000,2.890367031097412,63400,1733
5.308830623107497e-06,-1.283543348312378,5080000,2.890367031097412,63500,1733
7.066550551826367e-06,-0.8460148572921753,5088000,2.890366792678833,63600,1733
2.6204304504062748e-06,-0.06901156902313232,5096000,2.890367031097412,63700,1732
4.354677912488114e-06,-0.5283536911010742,5104000,2.890364408493042,63800,1732
2.292212229804136e-06,0.052543044090270996,5112000,2.890364408493042,63900,1732
3.26003691952792e-06,-4.509922504425049,5120000,2.8903660774230957,64000,1732
2.8755644052580465e-06,-0.5548920631408691,5128000,2.8903660774230957,64100,1732
2.0003794816148e-06,-0.3584846258163452,5136000,2.890367031097412,64200,1732
2.8411586754373275e-06,-2.4903616905212402,5144000,2.890367269515991,64300,1732
2.735850330282119e-06,-1.7591991424560547,5152000,2.8903677463531494,64400,1732
4.209993676340673e-06,-1.628319501876831,5160000,2.8903679847717285,64500,1732
