nupdates,explained_variance,value_loss,fps,policy_entropy,total_timesteps,avg reward
61100,0.6439318060874939,13844.2939453125,1931,0.0,4888000,3265.034796142578
61200,-0.223189115524292,1194253.75,1931,0.0,4896000,7858.262896728515
61300,-0.0069838762283325195,3153623.25,1931,0.0,4904000,-8335.518884277344
61400,0.800323411822319,113357.890625,1931,0.0,4912000,10580.159643554687
61500,0.5586812496185303,38526.9765625,1931,0.0,4920000,-5871.30687866211
61600,0.7719665467739105,68725.8359375,1931,0.0,4928000,9307.936450195313
61700,0.6397784948348999,49780.64453125,1931,0.0,4936000,6550.453643798828
61800,0.7761469334363937,7342.1533203125,1931,0.0,4944000,2896.3698760986326
61900,0.9196544662117958,11787.330078125,1931,0.0,4952000,4616.071737670898
62000,0.8290188312530518,64728.39453125,1931,0.0,4960000,7431.456268310547
62100,0.7063854336738586,44190.8984375,1931,0.0,4968000,6392.519866943359
62200,0.8320916593074799,4611.98486328125,1931,0.0,4976000,1896.439356994629
62300,0.8027074486017227,47644.9921875,1931,0.0,4984000,8033.024755859375
62400,0.48996859788894653,68333.703125,1931,0.0,4992000,-6898.0322265625
62500,-0.05274319648742676,2041303.0,1932,0.0,5000000,-7454.793530273438
62600,0.17897063493728638,123869.1640625,1931,0.0,5008000,2113.3669677734374
62700,0.90011365711689,1615.7139892578125,1931,0.0,5016000,-1330.4226501464843
62800,-0.5144790410995483,4196.9853515625,1931,0.0,5024000,1237.7158340454102
62900,0.3678879141807556,100011.390625,1931,0.0,5032000,-1944.1071411132812
63000,0.008555114269256592,10574262.0,1931,0.0,5040000,-12983.818829345702
63100,0.9195010364055634,22602.697265625,1931,0.0,5048000,-4867.418759155274
63200,0.9147434532642365,1004.3851318359375,1931,0.0,5056000,-1029.0957077026367
63300,-0.1331930160522461,115175.328125,1931,0.0,5064000,-2015.5850692749023
63400,0.6271266639232635,4091.01513671875,1931,0.0,5072000,490.6828664779663
63500,-0.9907708168029785,98793.796875,1931,0.0,5080000,-1839.6417587280273
