fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1732,2.890369415283203,74100,-0.7149391174316406,1.193819343825453e-06,5928000,0.001,0.00023984103254406363
1732,2.8903696537017822,74200,-1.087515115737915,1.8154171357309679e-06,5936000,0.001,0.00013583785606670063
1732,2.890369415283203,74300,-1.3311481475830078,1.0959222436213167e-06,5944000,0.001,-4.371887708884969e-05
1732,2.890369415283203,74400,-2.7865872383117676,1.742265339998994e-06,5952000,0.001,-0.00012336900149421127
1732,2.890368938446045,74500,-1.1019351482391357,8.176929213732365e-07,5960000,0.001,0.0003480577664504381
1732,2.8903696537017822,74600,-0.7798212766647339,1.4353623782881186e-06,5968000,0.001,-0.0008706910863111261
1733,2.890369176864624,74700,-1.8545289039611816,1.3769206361757824e-06,5976000,0.001,1.5151203569985228e-05
1733,2.890368938446045,74800,-1.1483659744262695,1.7499708064860897e-06,5984000,0.001,0.0005420022953785519
1733,2.890369415283203,74900,-2.303328275680542,9.333647312814719e-07,5992000,0.001,0.001179917989071555
1733,2.890369415283203,75000,-0.5505667924880981,1.0453541108290665e-06,6000000,0.001,0.0014503995316772489
1733,2.8903698921203613,75100,-1.687220811843872,1.2970184570804122e-06,6008000,0.001,0.00026769361316354435
1733,2.8903698921203613,75200,-0.9172197580337524,1.4382142126123654e-06,6016000,0.001,-0.0002750382563590392
1733,2.8903698921203613,75300,-0.35711002349853516,1.2950339396411437e-06,6024000,0.001,0.0007344926818404929
1733,2.8903698921203613,75400,-2.145286798477173,2.033569899140275e-06,6032000,0.001,-0.00036113194289555395
1733,2.8903698921203613,75500,-2.2122676372528076,1.0011224276240682e-06,6040000,0.001,0.0007919458620108344
1733,2.8903698921203613,75600,-0.5490437746047974,1.434155478818866e-06,6048000,0.001,0.00022674841286516312
1733,2.8903696537017822,75700,-0.5687593221664429,1.4703622355227708e-06,6056000,0.001,-0.0007897256835349253
1733,2.890369415283203,75800,-2.6170356273651123,1.6036767647165107e-06,6064000,0.001,-0.0014553645600244637
1733,2.8903701305389404,75900,-1.287651777267456,2.47109392148559e-06,6072000,0.001,0.0003680833713588072
1733,2.8903703689575195,76000,-0.2856858968734741,1.5935086139506893e-06,6080000,0.001,-0.0009331566574246608
1732,2.8903706073760986,76100,-0.4488745927810669,9.26519419408578e-07,6088000,0.001,6.665055216217297e-05
1732,2.8903703689575195,76200,-0.2538139820098877,7.469793672498781e-07,6096000,0.001,-0.0002025933436016203
1732,2.8903703689575195,76300,-2.582394599914551,1.4061727142689051e-06,6104000,0.001,0.0002516183907573577
1732,2.8903703689575195,76400,-0.7729637622833252,1.2686371064773994e-06,6112000,0.001,0.0007553031881798233
1732,2.8903708457946777,76500,-0.6010113954544067,4.6289855504255684e-07,6120000,0.001,0.00046526482560693694
1732,2.8903698921203613,76600,-0.6163345575332642,1.3175276762922294e-06,6128000,0.001,0.0009513829518255079
1732,2.8903701305389404,76700,-2.0263831615448,1.8393857317278162e-06,6136000,0.001,0.00144578613108024
1732,2.8903703689575195,76800,-1.1344802379608154,1.3286813782542595e-06,6144000,0.001,-0.0009389032477884029
1732,2.8903706073760986,76900,-2.399007797241211,2.038890670519322e-06,6152000,0.001,0.0005461592249048408
