total_timesteps,nupdates,fps,policy_entropy,value_loss,avgReward,explained_variance
2960000,37000,920,1.2473256587982178,0.01099362876266241,0.685110124759376,0.8801368772983551
2968000,37100,920,1.2218290567398071,0.008005142211914062,0.7505411705002188,0.8933271914720535
2976000,37200,920,1.1726020574569702,0.008245540782809258,0.7640236201143125,0.9127898663282394
2984000,37300,920,1.216986894607544,0.016151711344718933,0.7203163579106331,0.7037797570228577
2992000,37400,920,1.1910213232040405,0.013781150802969933,0.7450533591210842,0.8644773215055466
3000000,37500,921,1.1738827228546143,0.015334305353462696,0.7520873308181762,0.8129485249519348
3008000,37600,921,1.1985756158828735,0.017098933458328247,1.1338900897651911,0.8336164951324463
3016000,37700,921,1.2139326333999634,0.013522332534193993,0.6768921840470284,0.8948049694299698
3024000,37800,921,1.1986485719680786,0.020718073472380638,0.6644201048649847,0.7959863543510437
3032000,37900,921,1.2218693494796753,0.018135393038392067,0.6823567811399698,0.8146508187055588
3040000,38000,921,1.2332406044006348,0.028124257922172546,0.7906415641307831,0.5789897739887238
3048000,38100,921,1.1880768537521362,0.010264995507895947,0.6465090218931436,0.868863046169281
3056000,38200,921,1.1484887599945068,0.017485592514276505,0.8883997784927488,0.8714062869548798
3064000,38300,922,1.2139809131622314,0.00932465773075819,0.8318679770454764,0.8778092190623283
3072000,38400,922,1.2226507663726807,0.023759476840496063,1.0563481740653515,0.8450310975313187
3080000,38500,922,1.1811809539794922,0.020679160952568054,0.852302360907197,0.6874026358127594
3088000,38600,922,1.2137290239334106,0.01132032461464405,0.8682589128613472,0.9028612971305847
3096000,38700,922,1.200786828994751,0.015905795618891716,0.8598575018346309,0.8165664225816727
3104000,38800,922,1.2001937627792358,0.009373468346893787,0.5940991190262139,0.9121574908494949
3112000,38900,922,1.2336394786834717,0.015670105814933777,0.7653562521561981,0.7828501313924789
3120000,39000,923,1.234898567199707,0.019669899716973305,0.8306852597743273,0.5348550975322723
3128000,39100,923,1.1908769607543945,0.014953169040381908,1.166989340633154,0.7729863971471786
3136000,39200,923,1.1499521732330322,0.01078842394053936,1.1027944736182689,0.8220603913068771
3144000,39300,923,1.1912615299224854,0.010657494887709618,1.199363960325718,0.877835288643837
3152000,39400,923,1.174002766609192,0.00887671671807766,1.0223043411970139,0.8899243846535683
3160000,39500,923,1.1604163646697998,0.010854348540306091,0.8225346554070712,0.9162245318293571
3168000,39600,923,1.093091607093811,0.012113602831959724,0.8736526787281036,0.9188084229826927
3176000,39700,923,1.1711006164550781,0.02464868687093258,0.6611277038231492,0.5681670904159546
3184000,39800,924,1.1760523319244385,0.008818169124424458,0.8072283210232853,0.885555699467659
3192000,39900,924,1.276233434677124,0.016519207507371902,0.8604648590087891,0.8743463903665543
3200000,40000,924,1.1938426494598389,0.03792792186141014,1.472158432751894,0.7150085866451263
