fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
1983,1.524613618850708,0.8432174324989319,7584000,94800,0.20864048600196838,3.1578138072043656
1983,1.5547685623168945,0.9517981521785259,7592000,94900,0.05650293081998825,3.270071832090616
1983,1.4694762229919434,0.9347826614975929,7600000,95000,0.04543387144804001,2.897909388691187
1983,1.4393430948257446,0.9382542818784714,7608000,95100,0.040680691599845886,2.6582545863464473
1983,1.419392704963684,0.9654910750687122,7616000,95200,0.033236753195524216,3.352573408186436
1983,1.3204777240753174,0.9833891522139311,7624000,95300,0.026194488629698753,3.0081343157216907
1983,1.4092321395874023,0.9686106815934181,7632000,95400,0.03965649753808975,2.8091139160096645
1984,1.3933935165405273,0.954842884093523,7640000,95500,0.08369684219360352,3.526022364757955
1984,1.4450231790542603,0.9847166938707232,7648000,95600,0.025464389473199844,3.27564264908433
1984,1.4292356967926025,0.9409425407648087,7656000,95700,0.05078776553273201,3.4607025139033794
1984,1.404623031616211,0.9760138299316168,7664000,95800,0.045930858701467514,2.8698945309966803
1984,1.4939125776290894,0.9642386697232723,7672000,95900,0.061248403042554855,3.407819890603423
1984,1.5050203800201416,0.9888621689751744,7680000,96000,0.015186580829322338,2.6793236516416075
1984,1.4822585582733154,0.9831320066004992,7688000,96100,0.017655305564403534,3.253886354714632
1984,1.4240689277648926,0.9880790067836642,7696000,96200,0.021991560235619545,2.6197928237728774
1984,1.435072422027588,0.9193216785788536,7704000,96300,0.10807671397924423,3.757199929654598
1984,1.438330888748169,0.9760093279182911,7712000,96400,0.024228746071457863,2.6275957956910134
1984,1.5299310684204102,0.9817369822412729,7720000,96500,0.019442053511738777,2.8897665306925773
1984,1.496319055557251,0.9872651929035783,7728000,96600,0.01564037799835205,2.711714047024725
1985,1.4498493671417236,0.9756315909326077,7736000,96700,0.05145560950040817,2.1865709612029605
1985,1.4491169452667236,0.9288209304213524,7744000,96800,0.05044696852564812,3.6282635264098646
1985,1.4099156856536865,0.9905993938446045,7752000,96900,0.015511940233409405,3.3026753066107633
1985,1.4424656629562378,0.992267822381109,7760000,97000,0.010553121566772461,2.9273409321904182
