nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
41200,3296000,1883,1.7450720071792603,0.8285093903541565,0.039361003786325455,0.0007272674597696427,1.2867195911705493
41300,3304000,1883,1.7638864517211914,0.9211980924010277,0.015190291218459606,0.0007272674597696427,1.569991059601307
41400,3312000,1883,1.750419020652771,0.9592287205159664,0.016680805012583733,0.0007272674597696427,1.41283342204988
41500,3320000,1884,1.723023772239685,0.9118114113807678,0.050546206533908844,0.0007272674597696427,1.7162028145045043
41600,3328000,1884,1.7374839782714844,0.9651942625641823,0.015689419582486153,0.0007272674597696427,1.3977637704185326
41700,3336000,1884,1.7244316339492798,0.9863233678042889,0.008306636475026608,0.0007272674597696427,1.0547770371078513
41800,3344000,1884,1.7293189764022827,0.9627524018287659,0.023034116253256798,0.0007272674597696427,1.8490976873785256
41900,3352000,1884,1.7608840465545654,0.9681121930480003,0.011827392503619194,0.0007272674597696427,1.1857579324394465
42000,3360000,1884,1.729386568069458,0.939786322414875,0.024244729429483414,0.0007272674597696427,2.3242999179288746
42100,3368000,1884,1.7371180057525635,0.9453998915851116,0.01967369019985199,0.0007272674597696427,1.3946636271197348
42200,3376000,1884,1.7374013662338257,0.9619797058403492,0.019356098026037216,0.0007272674597696427,1.616352395247668
42300,3384000,1884,1.7565183639526367,0.9493418522179127,0.015186289325356483,0.0007272674597696427,1.4614883333444595
42400,3392000,1884,1.6901378631591797,0.9628482535481453,0.01476060040295124,0.0007272674597696427,1.6538857171311974
42500,3400000,1884,1.7602688074111938,0.9016401097178459,0.03404301032423973,0.0007272674597696427,1.5059266224503518
42600,3408000,1885,1.7462427616119385,0.9678451344370842,0.01005481369793415,0.0007272674597696427,1.0800925886258483
42700,3416000,1885,1.7585395574569702,0.9737662002444267,0.009702512994408607,0.0007272674597696427,1.2505783755332232
42800,3424000,1885,1.7517318725585938,0.9477684795856476,0.016526082530617714,0.0007272674597696427,1.0411262512672692
42900,3432000,1885,1.7425673007965088,0.9436261542141438,0.01698445715010166,0.0007272674597696427,1.5201169261708856
43000,3440000,1885,1.7271589040756226,0.9743336532264948,0.020011046901345253,0.0007272674597696427,1.2909965670725796
43100,3448000,1885,1.7433315515518188,0.9250489175319672,0.03469298779964447,0.0007272674597696427,1.5483758218237198
43200,3456000,1885,1.7106796503067017,0.9003301486372948,0.05042974278330803,0.0007272674597696427,1.6203531980514527
43300,3464000,1885,1.6699177026748657,0.9743102770298719,0.01463281363248825,0.0007272674597696427,1.4326294663536827
43400,3472000,1885,1.6914949417114258,0.9342635050415993,0.04040845111012459,0.0007272674597696427,2.020925413444638
43500,3480000,1885,1.725102186203003,0.9877750696614385,0.009625932201743126,0.0007272674597696427,1.8355030632345006
43600,3488000,1885,1.6380949020385742,0.9798801243305206,0.01790519617497921,0.0007272674597696427,1.7988156928680836
43700,3496000,1885,1.7088444232940674,0.9636514224112034,0.04268723353743553,0.0007272674597696427,1.4975613224320115
43800,3504000,1885,1.7246917486190796,0.9692985471338034,0.01100788451731205,0.0007272674597696427,1.100792327709496
43900,3512000,1885,1.7063080072402954,0.9505472034215927,0.00893191248178482,0.0007272674597696427,1.3391682229936124
44000,3520000,1886,1.7197259664535522,0.9383580386638641,0.02162310853600502,0.0007272674597696427,1.8420553244650364
44100,3528000,1886,1.690136194229126,0.9108242616057396,0.01946323551237583,0.0007272674597696427,1.4583768654614686
44200,3536000,1886,1.7773988246917725,0.884077250957489,0.03765849024057388,0.0007272674597696427,1.2545809770934284
44300,3544000,1886,1.720170259475708,0.9463023617863655,0.028538504615426064,0.0007272674597696427,1.2526535706128925
44400,3552000,1886,1.7431037425994873,0.9631844200193882,0.014083442278206348,0.0007272674597696427,1.127384496293962
44500,3560000,1886,1.7536871433258057,0.9797056335955858,0.007671070285141468,0.0007272674597696427,1.42233760477975
44600,3568000,1886,1.7425625324249268,0.9759006425738335,0.007946433499455452,0.0007272674597696427,1.3873516748659314
44700,3576000,1887,1.668405294418335,0.9764733389019966,0.01970612443983555,0.0007272674597696427,2.4154212649911644
44800,3584000,1887,1.7294750213623047,0.9124993085861206,0.03835323825478554,0.0007272674597696427,1.8781494572758675
44900,3592000,1887,1.7212896347045898,0.9922888134606183,0.004943842999637127,0.0007272674597696427,1.3850016850978135
45000,3600000,1887,1.7398713827133179,0.898994505405426,0.04078085720539093,0.0007272674597696427,1.4195828987285495
45100,3608000,1887,1.6853911876678467,0.9780801218003035,0.012551972642540932,0.0007272674597696427,1.1852328970097006
45200,3616000,1887,1.7444839477539062,0.9303204491734505,0.021668029949069023,0.0007272674597696427,1.125526824966073
45300,3624000,1887,1.7224178314208984,0.9609243161976337,0.021819744259119034,0.0007272674597696427,1.8883808460086584
45400,3632000,1887,1.7169698476791382,0.9912695800885558,0.007311621215194464,0.0007272674597696427,1.6337002314627171
45500,3640000,1887,1.7269742488861084,0.9680660702288151,0.014130143448710442,0.0007272674597696427,1.5767084611579776
45600,3648000,1887,1.7221667766571045,0.9711194783449173,0.013168657198548317,0.0007272674597696427,1.6850952312350274
45700,3656000,1887,1.7061183452606201,0.9656294696033001,0.013568690046668053,0.0007272674597696427,1.9061090256087483
45800,3664000,1888,1.7081069946289062,0.9417742155492306,0.011590962298214436,0.0007272674597696427,1.2896872055716813
45900,3672000,1888,1.7400261163711548,0.9406501576304436,0.031309954822063446,0.0007272674597696427,1.3753287454135716
46000,3680000,1888,1.7036644220352173,0.9795906096696854,0.010717697441577911,0.0007272674597696427,1.1016259762225673
46100,3688000,1888,1.7494266033172607,0.8760400414466858,0.060274720191955566,0.0007272674597696427,1.7682035498321056
46200,3696000,1888,1.742911696434021,0.9736761189997196,0.012561270967125893,0.0007272674597696427,1.7930254183709622
46300,3704000,1888,1.7163845300674438,0.9670726433396339,0.013787476345896721,0.0007272674597696427,1.7166204567998649
46400,3712000,1889,1.708543062210083,0.9715161249041557,0.011793340556323528,0.0007272674597696427,1.174850295856595
46500,3720000,1889,1.7244558334350586,0.9814898781478405,0.006595726124942303,0.0007272674597696427,1.4219156129285693
46600,3728000,1889,1.7155544757843018,0.9083162918686867,0.05136243253946304,0.0007272674597696427,1.5915709886699916
46700,3736000,1889,1.7320411205291748,0.9816039353609085,0.009454521350562572,0.0007272674597696427,1.4123456388479099
