fps,explained_variance,total_timesteps,value_loss,avg reward,policy_entropy,nupdates
1998,0.012493669986724854,4272000,4.1940752453228924e-06,0.0011684734698064858,2.1972200870513916,53400
1998,0.16169273853302002,4280000,3.066392309847288e-06,0.0003328442778183671,2.1972224712371826,53500
1998,-1.0789852142333984,4288000,1.2903217793791555e-05,-0.00011224477784708143,2.1972224712371826,53600
1998,-0.9197969436645508,4296000,1.4565471246896777e-06,0.000875051913317293,2.197221040725708,53700
1998,-0.6157909631729126,4304000,1.6822907127789222e-05,-0.000368573179730447,2.1972227096557617,53800
1998,-0.596375584602356,4312000,1.7438394479540875e-06,0.00025504893783363515,2.1972224712371826,53900
1998,0.05613201856613159,4320000,2.627827825563145e-06,0.0009876596868707566,2.1972169876098633,54000
1998,0.03871119022369385,4328000,3.0915296065359144e-06,-0.0005347090427676449,2.1972222328186035,54100
1998,-0.8608270883560181,4336000,1.3300605132826604e-05,0.00024077495945675764,2.19722318649292,54200
1998,-2.3668229579925537,4344000,1.3405147001321893e-06,0.001637773546826793,2.197221279144287,54300
1998,-0.4092521667480469,4352000,1.4147342881187797e-05,0.00048515504531678746,2.197222948074341,54400
1998,-1.021895170211792,4360000,4.274820639693644e-06,0.001905529923442373,2.1972222328186035,54500
1998,-1.3066329956054688,4368000,2.7549194783205166e-06,-0.0008350458898348734,2.1972222328186035,54600
1998,-0.0922020673751831,4376000,3.6042777082911925e-06,-0.0007938565580843715,2.1972153186798096,54700
1998,0.08246034383773804,4384000,3.2296666176989675e-06,0.0011548135703378648,2.197221279144287,54800
1998,-0.6696667671203613,4392000,1.0853231287910603e-05,-0.00202378476751619,2.1972224712371826,54900
1998,-1.0551121234893799,4400000,1.1455534831839032e-06,-4.260746227373602e-05,2.19722056388855,55000
1998,-0.3472738265991211,4408000,1.2298811270738952e-05,-0.0030536173517248244,2.197222948074341,55100
1998,-0.2524130344390869,4416000,2.2060482933738967e-06,-0.002194533315650915,2.1972222328186035,55200
1998,-0.45991766452789307,4424000,1.982050207516295e-06,-0.002348243060259847,2.197218418121338,55300
1998,-0.9125499725341797,4432000,4.3412624108896125e-06,0.0017195791810081574,2.1972126960754395,55400
1998,-0.7006139755249023,4440000,2.1729904347012052e-06,-0.0008167865902578342,2.1972222328186035,55500
1998,0.050740957260131836,4448000,7.608529358549276e-06,-0.001503297462932096,2.197221279144287,55600
1998,-0.6698954105377197,4456000,1.3448450317810057e-06,0.0008480240554490593,2.197221279144287,55700
1998,-1.6374342441558838,4464000,1.707679984974675e-05,-0.0009211765209329315,2.1972193717956543,55800
1998,-1.5731539726257324,4472000,2.1910143459535902e-06,0.001010213823064987,2.1972224712371826,55900
1998,-1.2787678241729736,4480000,3.7653267099813092e-06,0.0046420649799983945,2.1972084045410156,56000
1998,-1.1787807941436768,4488000,3.5490706977725495e-06,-0.00016865311586116148,2.1972222328186035,56100
1998,-0.1040869951248169,4496000,5.056811005488271e-06,-0.0012449164835857118,2.197220802307129,56200
1998,-0.374703049659729,4504000,1.7839180372902774e-06,-0.0020216684248225646,2.197221279144287,56300
1998,-0.7552592754364014,4512000,1.2156473530922085e-05,-0.0011596384903896251,2.1972203254699707,56400
1998,-0.7182614803314209,4520000,3.408916427360964e-06,0.000566928007901879,2.1972222328186035,56500
1998,-1.6748220920562744,4528000,3.0191272344382014e-06,-0.0006500581955151575,2.1972224712371826,56600
1998,0.0348702073097229,4536000,3.4083107038895832e-06,-0.0005126298741743085,2.197206974029541,56700
1998,-3.2804651260375977,4544000,2.393297563685337e-06,3.874903604810243e-05,2.197221279144287,56800
1998,-1.8057234287261963,4552000,1.594584682607092e-05,-0.00011417456007620786,2.19722056388855,56900
1998,-2.2480013370513916,4560000,1.494871980867174e-06,-0.001118792149429737,2.1972198486328125,57000
1998,-0.5601239204406738,4568000,1.586481448612176e-05,0.0008346929396338965,2.1972193717956543,57100
1998,-1.564180612564087,4576000,2.9967861792101758e-06,-0.00010496994591449038,2.1972222328186035,57200
1998,-2.446579694747925,4584000,4.583206646202598e-06,-0.00024966073528958076,2.197206735610962,57300
1998,-1.8945348262786865,4592000,4.3647055463225115e-06,0.00018548276407273078,2.197214126586914,57400
1998,0.15201348066329956,4600000,4.809395704796771e-06,-0.001767444974711907,2.1972217559814453,57500
1999,-2.604942798614502,4608000,6.885607490403345e-06,-0.0013088088411677746,2.197221279144287,57600
1999,-0.8372396230697632,4616000,2.9058794552838663e-06,-0.0006411235773157387,2.197221279144287,57700
1999,-1.5383238792419434,4624000,1.7356742318952456e-05,0.0008343999535100011,2.197220802307129,57800
1998,-0.3328443765640259,4632000,2.329752987861866e-06,0.0012449764284610866,2.1972227096557617,57900
1998,-1.1917593479156494,4640000,3.296401246188907e-06,0.002250095587078249,2.197211503982544,58000
1999,-0.6812769174575806,4648000,5.480280378833413e-06,-0.001177555053436663,2.1972217559814453,58100
1999,-1.0264291763305664,4656000,4.905867626803229e-06,-0.0006817623130700668,2.1972222328186035,58200
1999,-0.6552536487579346,4664000,1.061010038938548e-06,0.0002452345550864266,2.1972198486328125,58300
1999,-1.2337369918823242,4672000,8.874193554220255e-06,0.0005650296852763859,2.1972217559814453,58400
1998,-1.294416904449463,4680000,4.073236596013885e-06,-0.00019713409692485585,2.1972219944000244,58500
1999,-1.0519170761108398,4688000,2.2425926999858348e-06,-0.00042144725575781193,2.1972222328186035,58600
1999,-0.8746402263641357,4696000,4.181757503829431e-06,0.0014599403933061694,2.1972126960754395,58700
