total_timesteps,explained_variance,value_loss,fps,avg reward,policy_entropy,nupdates,learning rate
200000,2.980232238769531e-07,0.038169555366039276,2031,-1.8936961963772774,1.7773685455322266,2500,0.01
208000,0.0032573938369750977,0.03866809979081154,2033,-2.008439156413078,1.7773411273956299,2600,0.01
216000,1.430511474609375e-06,0.04836013913154602,2032,-2.367672210931778,1.7676575183868408,2700,0.01
224000,0.0032995939254760742,0.054089367389678955,2034,-1.901949182152748,1.7522205114364624,2800,0.01
232000,-3.5762786865234375e-07,0.0017620656872168183,2037,-1.763934278488159,1.770613431930542,2900,0.01
240000,0.0,0.043838344514369965,2038,-2.211210459470749,1.7813994884490967,3000,0.01
248000,0.0,0.002365651074796915,2040,-2.0438385963439942,1.7664695978164673,3100,0.01
256000,0.0,0.017629433423280716,2039,-2.0272121116518975,1.7729591131210327,3200,0.01
264000,0.0024818778038024902,0.00676552951335907,2041,-1.7156683206558228,1.7673428058624268,3300,0.01
272000,0.0,0.01355387456715107,2044,-1.3641608476638794,1.7764580249786377,3400,0.01
